Program,Service,Activity,Category,Category Name,Expense/Revenue,Sum - 2016
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,510A,Contribution To Reserves/Reserve Funds,Expenses,"38,059"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Property Maintenance,700A,Inter-Divisional Charges,Expenses,"284,869"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",100A,Salaries And Benefits,Expenses,"5,184,510"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",200A,Materials & Supplies,Expenses,"59,902"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",300A,Equipment,Expenses,"125,902"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",400A,Service And Rent,Expenses,"158,342"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",510A,Contribution To Reserves/Reserve Funds,Expenses,"25,372"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance","Property Standards, Inspection & Enforcement",700A,Inter-Divisional Charges,Expenses,"288,031"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,100A,Salaries And Benefits,Expenses,"2,636,576"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,200A,Materials & Supplies,Expenses,"35,142"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,300A,Equipment,Expenses,"82,662"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,400A,Service And Rent,Expenses,"74,096"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,510A,Contribution To Reserves/Reserve Funds,Expenses,"5,074"
Municipal Licensing & Standards,"MS-Property Standards, Inspection & Compliance",Zoning Investigation & Enforcement,700A,Inter-Divisional Charges,Expenses,"171,526"
Non-Program Expenditures,Corporate Accounts,Corporate Accounts,100A,Salaries And Benefits,Expenses,"51,917,168"
Non-Program Expenditures,Corporate Accounts,Corporate Accounts,200A,Materials & Supplies,Expenses,"180,000"
Non-Program Expenditures,Corporate Accounts,Corporate Accounts,400A,Service And Rent,Expenses,"343,588,003"
Non-Program Expenditures,Corporate Accounts,Corporate Accounts,510A,Contribution To Reserves/Reserve Funds,Expenses,"77,132,600"
Non-Program Expenditures,Corporate Accounts,Corporate Accounts,650A,Other Expenditures,Expenses,"133,226,169"
Non-Program Expenditures,Corporate Accounts,Corporate Accounts,700A,Inter-Divisional Charges,Expenses,"18,778,671"
Non-Program Revenues,Corporate Accounts,Corporate Accounts,400A,Service And Rent,Expenses,"5,747,145"
Non-Program Revenues,Corporate Accounts,Corporate Accounts,510A,Contribution To Reserves/Reserve Funds,Expenses,"49,380,000"
Non-Program Revenues,Corporate Accounts,Corporate Accounts,650A,Other Expenditures,Expenses,"310,590"
Non-Program Revenues,Corporate Accounts,Corporate Accounts,700A,Inter-Divisional Charges,Expenses,"5,519,734"
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,100A,Salaries And Benefits,Expenses,"617,033"
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,200A,Materials & Supplies,Expenses,"2,378"
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,300A,Equipment,Expenses,507
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,400A,Service And Rent,Expenses,"12,543"
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Advisory & Negotiation,700A,Inter-Divisional Charges,Expenses,"1,369"
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,100A,Salaries And Benefits,Expenses,"711,111"
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,200A,Materials & Supplies,Expenses,"2,783"
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,300A,Equipment,Expenses,552
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,400A,Service And Rent,Expenses,"14,270"
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial & Business Analysis,700A,Inter-Divisional Charges,Expenses,"1,654"
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,100A,Salaries And Benefits,Expenses,"908,158"
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,200A,Materials & Supplies,Expenses,"4,000"
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,300A,Equipment,Expenses,573
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,400A,Service And Rent,Expenses,"19,429"
Office of the Chief Financial Officer,"CPF-Financial Strategies, Analysis & Policy Development",CPF-Financial Policy Development,700A,Inter-Divisional Charges,Expenses,"2,688"
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Debt Management,100A,Salaries And Benefits,Expenses,"314,715"
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Debt Management,200A,Materials & Supplies,Expenses,"3,503"
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Debt Management,300A,Equipment,Expenses,"1,374"
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Debt Management,400A,Service And Rent,Expenses,"304,827"
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Debt Management,650A,Other Expenditures,Expenses,329
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Debt Management,700A,Inter-Divisional Charges,Expenses,537
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment Management,100A,Salaries And Benefits,Expenses,"570,148"
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment Management,200A,Materials & Supplies,Expenses,"2,936"
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment Management,300A,Equipment,Expenses,700
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment Management,400A,Service And Rent,Expenses,"167,266"
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment Management,650A,Other Expenditures,Expenses,168
Office of the Chief Financial Officer,CPF-Investment & Debt Management,CPF-Investment Management,700A,Inter-Divisional Charges,Expenses,748
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Claims Management,100A,Salaries And Benefits,Expenses,"1,067,452"
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Claims Management,200A,Materials & Supplies,Expenses,"4,248"
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Claims Management,300A,Equipment,Expenses,"1,969"
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Claims Management,400A,Service And Rent,Expenses,"19,125"
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Claims Management,510A,Contribution To Reserves/Reserve Funds,Expenses,"50,213"
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Claims Management,650A,Other Expenditures,Expenses,0
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Claims Management,700A,Inter-Divisional Charges,Expenses,"1,226"
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Insurance & Risk Management,100A,Salaries And Benefits,Expenses,"670,877"
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Insurance & Risk Management,200A,Materials & Supplies,Expenses,"2,857"
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Insurance & Risk Management,300A,Equipment,Expenses,"1,071"
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Insurance & Risk Management,400A,Service And Rent,Expenses,"15,934"
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Insurance & Risk Management,510A,Contribution To Reserves/Reserve Funds,Expenses,"27,193"
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Insurance & Risk Management,650A,Other Expenditures,Expenses,2
Office of the Chief Financial Officer,CPF-Risk Management & Insurance,CPF-Insurance & Risk Management,700A,Inter-Divisional Charges,Expenses,914
Office of the Chief Financial Officer,F&A-Executive Leadership,F&A-Executive Leadership,100A,Salaries And Benefits,Expenses,"926,803"
Office of the Chief Financial Officer,F&A-Executive Leadership,F&A-Executive Leadership,200A,Materials & Supplies,Expenses,"2,391"
Office of the Chief Financial Officer,F&A-Executive Leadership,F&A-Executive Leadership,400A,Service And Rent,Expenses,"13,111"
Office of the Chief Financial Officer,F&A-Executive Leadership,F&A-Executive Leadership,700A,Inter-Divisional Charges,Expenses,"135,350"
Office of the Chief Financial Officer,F&A-Financial Management & Program Support,F&A-Financial Management & Program Support,100A,Salaries And Benefits,Expenses,"1,455,757"
Office of the Chief Financial Officer,F&A-Financial Management & Program Support,F&A-Financial Management & Program Support,200A,Materials & Supplies,Expenses,"5,139"
Office of the Chief Financial Officer,F&A-Financial Management & Program Support,F&A-Financial Management & Program Support,400A,Service And Rent,Expenses,"12,587"
Office of the Chief Financial Officer,F&A-Financial Management & Program Support,F&A-Financial Management & Program Support,700A,Inter-Divisional Charges,Expenses,"52,733"
Office of the Chief Financial Officer,F&A-Organizational Management Consulting,F&A-Organizational Management Consulting,100A,Salaries And Benefits,Expenses,"290,209"
Office of the Chief Financial Officer,F&A-Organizational Management Consulting,F&A-Organizational Management Consulting,200A,Materials & Supplies,Expenses,340
Office of the Chief Financial Officer,F&A-Organizational Management Consulting,F&A-Organizational Management Consulting,400A,Service And Rent,Expenses,"1,462"
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Budgeting,100A,Salaries And Benefits,Expenses,"2,444,900"
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Budgeting,200A,Materials & Supplies,Expenses,"8,125"
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Budgeting,400A,Service And Rent,Expenses,"39,710"
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Budgeting,700A,Inter-Divisional Charges,Expenses,"13,864"
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Advice,100A,Salaries And Benefits,Expenses,"1,797,580"
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Advice,200A,Materials & Supplies,Expenses,"5,142"
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Advice,400A,Service And Rent,Expenses,"25,991"
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Advice,700A,Inter-Divisional Charges,Expenses,"8,665"
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Planning & Policy,100A,Salaries And Benefits,Expenses,"1,572,803"
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Planning & Policy,200A,Materials & Supplies,Expenses,"2,468"
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Planning & Policy,400A,Service And Rent,Expenses,"10,677"
Office of the Chief Financial Officer,FPD-Financial Planning & Management,FPD-Financial Planning & Policy,700A,Inter-Divisional Charges,Expenses,"4,159"
Office of the Chief Financial Officer,FPD-Financial Reporting & Control,FPD-Financial Reporting & Control,100A,Salaries And Benefits,Expenses,"2,181,372"
Office of the Chief Financial Officer,FPD-Financial Reporting & Control,FPD-Financial Reporting & Control,200A,Materials & Supplies,Expenses,"4,731"
Office of the Chief Financial Officer,FPD-Financial Reporting & Control,FPD-Financial Reporting & Control,400A,Service And Rent,Expenses,"23,572"
Office of the Chief Financial Officer,FPD-Financial Reporting & Control,FPD-Financial Reporting & Control,700A,Inter-Divisional Charges,Expenses,"7,972"
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,100A,Salaries And Benefits,Expenses,"1,053,367"
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,200A,Materials & Supplies,Expenses,"7,611"
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,300A,Equipment,Expenses,286
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,400A,Service And Rent,Expenses,"79,647"
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,510A,Contribution To Reserves/Reserve Funds,Expenses,"1,578"
Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,Office of the Lobbyist Registrar,700A,Inter-Divisional Charges,Expenses,600
Office of the Ombudsman,Office of the Ombudsman,Office of the Ombudsman,100A,Salaries And Benefits,Expenses,"1,553,735"
Office of the Ombudsman,Office of the Ombudsman,Office of the Ombudsman,200A,Materials & Supplies,Expenses,"12,718"
Office of the Ombudsman,Office of the Ombudsman,Office of the Ombudsman,300A,Equipment,Expenses,"7,222"
Office of the Ombudsman,Office of the Ombudsman,Office of the Ombudsman,400A,Service And Rent,Expenses,"226,396"
Office of the Ombudsman,Office of the Ombudsman,Office of the Ombudsman,510A,Contribution To Reserves/Reserve Funds,Expenses,"2,082"
Office of the Ombudsman,Office of the Ombudsman,Office of the Ombudsman,700A,Inter-Divisional Charges,Expenses,"12,405"
Office of the Treasurer,ASD-Financial Reporting & Control,ASD-Financial & System Control,100A,Salaries And Benefits,Expenses,"1,693,485"
